chain_id,chain_name,subchain_id,subchain_name
72906390,סטופמרקט,1,1
7290055700007,מגה בעיר,1,1
7290055700014,מגה מרקט,1,1
7290058108879,"אלמשהדאוי קינג סטור בע""מ",1,1
7290058140886,רמי לוי שיווק השקמה,1,1
7290058159628,"ג.מ. מעיין אלפיים (07) בע""מ",1,1
7290058160839,"נתיב החסד- סופר חסד בע""מ",2,בר-כל
7290058160839,"נתיב החסד- סופר חסד בע""מ",6,נתיב
7290058160839,"נתיב החסד- סופר חסד בע""מ",9,שירה מרקט
7290058197699,"גוד פארם בע""מ",1,1
7290103152017,אושר עד,1,1
7290492000005,Dor Alon,0,0
7290492000005,Dor Alon,1,AM:PM
7290492000005,Dor Alon,2,אלונית מיני סופר
7290526500006,Dabach,1,1
7290644700005,"פז חברת הנפט בע""מ",1,1
7290700100008,כל בו חצי חינם,1,1
7290725900003,יינות ביתן,1,1
7290785400000,קשת טעמים,1,1
7290803800003,מ. יוחננוף ובניו,1,1
7290873255550,טיב טעם,1,1
7290876100000,פרש מרקט,1,1
7291056200008,רמי לוי בשכונה,1,1
7291059100008,פוליצר,1,1
