code,internal_code,name,manufacturer_name,manufacture_country,manufacturer_item_description,unit_qty,quantity,unit_of_measure,weighted,qty_in_package,price,unit_of_measure_price,allow_discount,status,item_id
1,true,אבוקדו,ביכורי השדה הצפון בעמ` 1964,,,"ק""ג",1,,true,1,12.90,12.90,false,1,
2,true,לוף,ביכורי השדה הצפון בעמ` 1964,,,"ק""ג",1,,true,1,14.90,14.90,false,1,
3,true,קישוא זוקיני,ביכורי השדה הצפון בעמ` 1964,,,"ק""ג",1,,true,1,9.90,9.90,false,1,
4,true,חזרת,ביכורי השדה הצפון בעמ` 1964,,,"ק""ג",1,,true,1,49.90,49.90,false,1,
5,true,אבטיח,ביכורי השדה הצפון בעמ` 1964,,,"ק""ג",0,"ל-100 מ""ל",true,1,7.90,7.90,false,1,
6,true,קישואים,ביכורי השדה הצפון בעמ` 1964,,,"ק""ג",1,,true,1,9.90,9.90,false,1,
7,true,תירס ארוז,ביכורי השדה הצפון בעמ` 1964,,,"ק""ג",3.50,ל-100 גרם,true,1,9.90,2.83,false,1,
8,true,שעועית ירוקה,ביכורי השדה הצפון בעמ` 1964,,,"ק""ג",0,"ק""ג",true,1,14.90,14.90,false,1,
9,true,אשכולית אדומה,ביכורי השדה הצפון בעמ` 1964,,,"ק""ג",1,,true,1,6.90,6.90,false,1,
10,true,אגס,ביכורי השדה הצפון בעמ` 1964,,,"ק""ג",7.50,ל-100 גרם,true,1,12.90,1.72,false,1,
11,true,מנגו,ביכורי השדה הצפון בעמ` 1964,,,"ק""ג",1,,true,1,12.90,12.90,false,1,
13,true,"קסביה\תפו""א ירושלמי",ביכורי השדה הצפון בעמ` 1964,,,'יח,1,,true,1,14.90,14.90,false,1,
14,true,אנונה,ביכורי השדה הצפון בעמ` 1964,,,"ק""ג",1,,true,1,19.90,19.90,false,1,
15,true,אבטיח אישי,ביכורי השדה הצפון בעמ` 1964,,,"ק""ג",1,,true,1,6.90,6.90,false,1,
17,true,תו זיכוי,,,,'יח,1,,false,1,4.90,4.90,false,1,
18,true,אגס אדום,ביכורי השדה הצפון בעמ` 1964,,,"ק""ג",1,,true,1,14.90,14.90,false,1,
20,true,אננס,ביכורי השדה הצפון בעמ` 1964,,,'יח,1,,false,1,34.90,34.90,false,1,
21,true,פיטיה,ביכורי השדה הצפון בעמ` 1964,,,"ק""ג",1,,true,1,29.90,29.90,false,1,
22,true,גינגר,ביכורי השדה הצפון בעמ` 1964,,,'יח,1,,true,1,29.90,29.90,false,1,
25,true,צנון,ביכורי השדה הצפון בעמ` 1964,,,"ק""ג",1,,true,1,6.90,6.90,false,1,
30,true,אפרסמון,ביכורי השדה הצפון בעמ` 1964,,,"ק""ג",1,,true,1,14.90,14.90,false,1,
33,true,שקית,רזפול בע`מ,,,'יח,1,,false,1,0.10,0.10,false,1,
40,true,אשכולית צהובה,ביכורי השדה הצפון בעמ` 1964,,,"ק""ג",1,,true,1,6.90,6.90,false,1,
45,true,אפרסק,ביכורי השדה הצפון בעמ` 1964,,,"ק""ג",1,,true,1,12.90,12.90,false,1,
